PMID||SENTID||STRUCTURED ABSTRACT LABEL|NORMALIZED LABEL/PREDICTION|GOLD|SENTENCE
29950143|ab|1|29950143|BACKGROUND|BACKGROUND|BACKGROUND|Bone-regulating hormones and nutrients play an important role in influencing metabolic health.
29950143|ab|2|29950143|AIM|OBJECTIVE|OBJECTIVE|The aim of this study was to determine whether bone-regulating hormones and nutrients, such as parathyroid hormone (PTH), 25-hydroxyvitamin D (25OHD), and magnesium (Mg) could be used to characterize the metabolically healthy obese (MHO) phenotype.
29950143|ab|3|29950143|METHODS|METHODS|METHODS|This study included 27 overweight or obese participants (14 men/13 women) classified as MHO ( n = 14) or metabolically unhealthy obese (MUO) ( n = 13) based on the presence or absence of metabolic abnormalities, determined by percentage body fat, percentage trunk fat, and waist circumference.
29950143|ab|4|29950143|METHODS|METHODS|METHODS|Biochemical (serum concentrations of hormones and cytokines such as PTH, 25OHD, ionized Mg (iMg), cytokines, lipids, glycemic indices), physiological (percentage body fat, percentage trunk fat, blood pressure (BP)), and dietary intake (Mg intake, calcium intake) measurements were obtained.
29950143|ab|5|29950143|RESULTS|RESULTS|RESULTS|Serum PTH concentrations were significantly lower ( p = 0.005) in the MHO group (39.68 +/- 11.06 pg/mL) compared with the MUO group (63.78 +/- 25.82 pg/mL).
29950143|ab|6|29950143|RESULTS|RESULTS|RESULTS|Serum iMg concentrations were higher ( p = 0.052) in the MHO group (0.565 +/- 0.41 mmol/L) than in the MUO group (0.528 +/- 0.050 mmol/L).
29950143|ab|7|29950143|RESULTS|RESULTS|RESULTS|Serum concentrations of osteocalcin were also higher (10.37 +/- 3.70 ng/mL) in the MHO compared with the MUO (6.51 +/- 4.14 ng/mL) group ( p = 0.017).
29950143|ab|8|29950143|RESULTS|RESULTS|RESULTS|The MHO group had significantly lower serum insulin concentrations ( p = 0.006) and diastolic BP ( p = 0.035).
29950143|ab|9|29950143|RESULTS|RESULTS|RESULTS|Concentrations of serum 25OHD, total triglycerides, C-reactive protein and systolic BP did not differ between groups.
29950143|ab|10|29950143|CONCLUSIONS|CONCLUSIONS|CONCLUSIONS|These findings suggest that bone-regulating hormones and nutrients, especially serum PTH, osteocalcin concentrations, and dietary Mg intakes, can help to characterize the MHO phenotype.
29949784|ab|1|29949784|BACKGROUND/AIMS|OBJECTIVE|BACKGROUND|Gastric cancer (GC) is one of the most prevalent digestive malignancies.
29949784|ab|2|29949784|BACKGROUND/AIMS|OBJECTIVE|BACKGROUND|MicroRNAs (miRNAs) are involved in multiple cellular processes, including oncogenesis, and miR-592 itself participates in many malignancies; however, its role in GC remains unknown.
29949784|ab|3|29949784|BACKGROUND/AIMS|OBJECTIVE|OBJECTIVE|In this study, we investigated the expression and molecular mechanisms of miR-592 in GC.
29949784|ab|4|29949784|METHODS|METHODS|METHODS|Quantitative real-time PCR and immunohistochemistry were performed to determine the expression of miR-592 and its putative targets in human tissues and cell lines.
29949784|ab|5|29949784|METHODS|METHODS|METHODS|Proliferation, migration, and invasion were evaluated by Cell Counting Kit-8, population doubling time, colony formation, Transwell, and wound-healing assays in transfected GC cells in vitro.
29949784|ab|6|29949784|METHODS|METHODS|METHODS|A dual-luciferase reporter assay was used to determine whether miR-592 could directly bind its target.
29949784|ab|7|29949784|METHODS|METHODS|METHODS|A tumorigenesis assay was used to study whether miR-592 affected GC growth in vivo.
29949784|ab|8|29949784|METHODS|METHODS|METHODS|Proteins involved in signaling pathways and the epithelial-mesenchymal transition (EMT) were detected with western blot.
29949784|ab|9|29949784|RESULTS|RESULTS|RESULTS|The ectopic expression of miR-592 promoted GC proliferation, migration, and invasion in vitro and facilitated tumorigenesis in vivo.
29949784|ab|10|29949784|RESULTS|RESULTS|RESULTS|Spry2 was a direct target of miR-592 and Spry2 overexpression partially counteracted the effects of miR-592.
29949784|ab|11|29949784|RESULTS|RESULTS|RESULTS|miR-592 induced the EMT and promoted its progression in GC via the PI3K/AKT and MAPK/ERK signaling pathways by inhibiting Spry2.
29949784|ab|12|29949784|CONCLUSIONS|CONCLUSIONS|CONCLUSIONS|Overexpression of miR-592 promotes GC proliferation, migration, and invasion and induces the EMT via the PI3K/AKT and MAPK/ERK signaling pathways by inhibiting Spry2, suggesting a potential therapeutic target for GC.
20211270|ab|1|20211270||BACKGROUND|BACKGROUND|Regularity of laminar origin and termination of projections appears to be a common feature of corticocortical connections.
20211270|ab|2|20211270||BACKGROUND|OBJECTIVE|We tested three models of this regularity, originally formulated for primate cerebral cortex, using quantitative data on the relative supragranular layer origins (SGN%) of 151 projections from 19 areas ( approximately 145,000 neurons) to four areas of cat extrastriate cortex.
20211270|ab|3|20211270||METHODS|METHODS|Predictive variables in the models were: hierarchical level differences (Barone et al., 2000), structural type differences (Barbas, 1986), and distances (Salin and Bullier, 1995) between areas.
20211270|ab|4|20211270||METHODS|METHODS|Global and local hierarchies of cat visual cortex were used to evaluate the hierarchical model.
20211270|ab|5|20211270||METHODS|METHODS|Ranking of areas by their cytoarchitectural differentiation (e.g., relative prominence of layer IV) allowed testing of the structural model, while the distance model was tested for the number of borders separating areas.
20211270|ab|6|20211270||RESULTS|RESULTS|Laminar projection origins correlated moderately with hierarchical differences, and poorly with border distances, but were strongly and consistently correlated with area differences in cytoarchitectural rank.
20211270|ab|7|20211270||RESULTS|RESULTS|Moreover, projection densities were moderately and negatively correlated with area distances and structural differences.
20211270|ab|8|20211270||CONCLUSIONS|CONCLUSIONS|Our findings suggest that the relative cytoarchitectural differentiation of cortical areas is the main determinant of laminar projection origins in cat visual cortex, and may underlie a general laminar regularity of mammalian cortical connections.
29954372|ab|1|29954372|BACKGROUND|BACKGROUND|BACKGROUND|Despite the growing interest in developing markers for predicting treatment response and optimizing treatment decisions, an appropriate methodology to identify, combine and evaluate such markers has been slow to develop.
29954372|ab|2|29954372|BACKGROUND|BACKGROUND|OBJECTIVE|We propose a step-by-step strategy for analysing data from existing randomised trials with the aim of identifying a multi-marker model for guiding decisions about treatment.
29954372|ab|3|29954372|METHODS|METHODS|METHODS|We start with formulating the treatment selection problem, continue with defining the treatment threshold, prepare a list of candidate markers, develop the model, apply the model to estimate individual treatment effects, and evaluate model performance in the study group of patients who meet the trial eligibility criteria.
29954372|ab|4|29954372|METHODS|METHODS|METHODS|In this process, we rely on some well-known techniques for multivariable prediction modelling, but focus on predicting benefit from treatment, rather than outcome itself.
29954372|ab|5|29954372|METHODS|METHODS|METHODS|We present our approach using data from a randomised trial in which 808 women with multiple pregnancy were assigned to cervical pessary or control, to prevent adverse perinatal outcomes.
29954372|ab|6|29954372|METHODS|METHODS|RESULTS|Overall, cervical pessary did not reduce the risk of adverse perinatal outcomes.
29954372|ab|7|29954372|RESULTS|RESULTS|RESULTS|The treatment threshold was zero.
29954372|ab|8|29954372|RESULTS|RESULTS|RESULTS|We had a preselected list of 5 potential markers and developed a logistic model including the markers, treatment and all marker-by-treatment interaction terms.
29954372|ab|9|29954372|RESULTS|RESULTS|RESULTS|The model was well calibrated and identified 35% (95% confidence interval (CI) 32 to 39%) of the trial participants as benefitting from pessary insertion.
29954372|ab|10|29954372|RESULTS|RESULTS|RESULTS|We estimated that the risk of adverse outcome could be reduced from 13.5 to 8.1% (5.4% risk reduction; 95% CI 2.1 to 8.6%) through model-based selective pessary insertion.
29954372|ab|11|29954372|RESULTS|RESULTS|CONCLUSIONS|The next step is external validation upon existence of independent trial data.
29954372|ab|12|29954372|CONCLUSIONS|CONCLUSIONS|CONCLUSIONS|We suggest revisiting existing trials data to explore whether differences in treatment benefit can be explained by differences in baseline characteristics of patients.
29954372|ab|13|29954372|CONCLUSIONS|CONCLUSIONS|CONCLUSIONS|This could lead to treatment selection tools which, after validation in comparable existing trials, can be introduced into clinical practice for guiding treatment decisions in future patients.
18657335|ab|1|18657335||BACKGROUND|BACKGROUND|Diabetes mellitus is the most common chronic metabolic disease.
18657335|ab|2|18657335||BACKGROUND|BACKGROUND|The raising diabetes epidemic is unfolding as an interaction between several environmental factors and a genetic predisposition.
18657335|ab|3|18657335||OBJECTIVE|OBJECTIVE|The aim of the current study was to evaluate the role of the PPARgamma-Pro12Ala and ENPP1-K121Q polymorphisms on type 2 diabetes (T2D) risk in a case-control study in the Tunisian population.
18657335|ab|4|18657335||METHODS|METHODS|To assess for any association of ENPP1-K121Q and PPARgamma-Pro12Ala polymorphisms with T2D risk, we analysed the genotypic and allelic distributions of each variant in the studied cohort.
18657335|ab|5|18657335||RESULTS|RESULTS|Our results support that the genetic variation at ENPP1-K121Q predisposes to T2D in the Tunisian population after adjustment on gender, age and BMI status (OR=1.55, 95%CI [1.11-2.16], p=0.007).
18657335|ab|6|18657335||RESULTS|RESULTS|Conversely, the PPARgamma-Pro12Ala variant seems not to have a significant effect on T2D risk in our Tunisian cohort.
18657335|ab|7|18657335||RESULTS|RESULTS|However, the minor A-allele would convey protection against overweight in the Tunisian population.
18657335|ab|8|18657335||RESULTS|RESULTS|In fact, the over weighted subjects showed a significantly lower frequency of A-allele than lean controls (OR=0.49, 95%CI [0.25-0.97], p=0.02).
18657335|ab|9|18657335||CONCLUSIONS|CONCLUSIONS|In conclusion, our findings support the hypothesis that ENPP1-121Q is involved in the genetic susceptibility of T2D in the Tunisian population, while the PPARgamma-12Ala allele may confer protection against overweight.
29953830|ab|1|29953830|OBJECTIVE|OBJECTIVE|OBJECTIVE|This systematic review aimed to synthesize the effects of interventions within the scope of occupational therapy to improve performance of activities of daily living (ADLs) in community-dwelling older adults.
29953830|ab|2|29953830|METHOD|METHODS|METHODS|Searches were conducted in CINAHL, the Cochrane Database of Systematic Reviews, MEDLINE, PsycINFO, and OTseeker.
29953830|ab|3|29953830|METHOD|METHODS|METHODS|Empirical studies published between 1995 and 2015 were individually screened and appraised by two reviewers.
29953830|ab|4|29953830|RESULTS|RESULTS|RESULTS|Forty-three studies met the review inclusion and exclusion criteria.
29953830|ab|5|29953830|RESULTS|RESULTS|RESULTS|Physical exercise was the most common intervention approach.
29953830|ab|6|29953830|RESULTS|RESULTS|RESULTS|Physical exercise interventions for frail older adults showed a moderate benefit, but no benefits were found for older adults without noticeable difficulty in ADLs.
29953830|ab|7|29953830|RESULTS|RESULTS|RESULTS|For older adults with difficulty in ADLs, there was a high benefit of using home-based intervention.
29953830|ab|8|29953830|CONCLUSION|CONCLUSIONS|CONCLUSIONS|The findings of this systematic review highlight the importance of addressing older adults' living environment in intervention to promote independence in ADLs.
22994439|ab|1|22994439||BACKGROUND|BACKGROUND|The prevalence of heart failure (HF) in the population is increasing, concomitant with high incidence of rehospitalizations and mortality.
22994439|ab|2|22994439||OBJECTIVE|OBJECTIVE|The aim of this study was to characterize a prognostic risk score model for patients with chronic HF.
22994439|ab|3|22994439||METHODS|METHODS|A total of 500 patients followed at the HF clinic were evaluated by clinical, functional, laboratory, imaging, and therapeutic variables that were correlated to mortality during a follow-up period of 25 months.
22994439|ab|4|22994439||METHODS|METHODS|Risk stratification was carried out by applying a risk score model based on multivariate analysis.
22994439|ab|5|22994439||RESULTS|RESULTS|Predictors correlated with mortality during follow-up were systolic blood pressure <110 mm Hg, male sex, age older than 70 years, 6-minute walk distance <300 m, lack of beta-blocker therapy, hyperuricemia (>7.5 mg/dL), hyponatremia, and prolonged QTc interval (>450 ms).
22994439|ab|6|22994439||RESULTS|RESULTS|Based on these variables, a risk score model (score 0-55) was established and included low risk, score <21 (9% mortality during 2-year follow-up); moderate risk, 21 to 29 (22%); high risk, 30 to 35 (35%), and very high risk: >=36 points (62% 2-year mortality).
22994439|ab|7|22994439||RESULTS|RESULTS|The risk model had good discrimination ability (concordance index 0.75), which was better than the performance of the Seattle Heart Failure Model on our cohort (0.69).
22994439|ab|8|22994439||CONCLUSIONS|CONCLUSIONS|Simple noninvasive characteristics examined during the initial admission to the HF clinic can serve as prognostic markers for mortality and may help in the process of therapeutic decision-making in patients with HF.
29957254|ab|1|29957254|BACKGROUND|BACKGROUND|BACKGROUND|Extracellular high-mobility group box 1 (HMGB1) has been identified as playing a critical role in the pathogenesis of tissue fibrosis.
29957254|ab|2|29957254|BACKGROUND|BACKGROUND|BACKGROUND|However, the underlying mechanism of its involvement in cardiac fibrosis is still not well-defined.
29957254|ab|3|29957254|BACKGROUND|BACKGROUND|OBJECTIVE|Here, we aim to investigate whether toll-like receptor 2 (TLR2) contributes to the extracellular HMGB1-mediated development and progression of cardiac fibrosis.
29957254|ab|4|29957254|METHODS|METHODS|METHODS|A mouse model of cardiac fibrosis was induced by subcutaneous injection of isoproterenol (ISO).
29957254|ab|5|29957254|METHODS|METHODS|METHODS|Glycyrrhizic acid (GA), an inhibitor of HMGB1 derived from natural products, was simultaneously administered by intraperitoneal injection.
29957254|ab|6|29957254|METHODS|METHODS|METHODS|Echocardiography, H&E and Sirius red staining were used to evaluate cardiac function and fibrosis.
29957254|ab|7|29957254|METHODS|METHODS|METHODS|The myocardial expression of autophagy-associated proteins was examined using immunoblotting.
29957254|ab|8|29957254|METHODS|METHODS|METHODS|Cardiac fibroblasts were treated with different concentrations of HMGB1 to examine the expression levels of alpha-SMA, collagen I and autophagy markers.
29957254|ab|9|29957254|METHODS|METHODS|METHODS|Interactions of HMGB1/TLR2 and alpha-SMA/p62 were examined by immunoprecipitation and immunofluorescence.
29957254|ab|10|29957254|RESULTS|RESULTS|RESULTS|ISO-treated mice showed characteristic cardiac fibrosis, increased expression and co-localization of HMGB1 and TLR2, as well as impaired autophagic signals in myocardial tissues, which could be prevented by silencing TLR2.
29957254|ab|11|29957254|RESULTS|RESULTS|RESULTS|Exogenous administration of HMGB1 blocked the autophagic flux in fibroblasts, which caused extensive accumulation of collagen I and alpha-SMA.
29957254|ab|12|29957254|RESULTS|RESULTS|RESULTS|In addition, cardiac fibrosis was alleviated by GA treatment through abrogating the interaction between HMGB1 and TLR2.
29957254|ab|13|29957254|CONCLUSIONS|CONCLUSIONS|CONCLUSIONS|Our study suggests that the interaction between TLR2 and HMGB1 contributes to the pathogenesis of cardiac fibrosis via suppressing fibroblast autophagy, and that inhibiting HMGB1 with GA provides therapeutic benefits for the treatment of fibroproliferative heart diseases.
26972210|ab|1|26972210||BACKGROUND|OBJECTIVE|The present guidelines on dermatomyositis (DM) represent an excerpt from the interdisciplinary S2k guidelines on myositis syndromes of the German Society of Neurology (available at www.awmf.org).
26972210|ab|2|26972210||BACKGROUND|BACKGROUND|The cardinal symptom of myositis in DM is symmetrical proximal muscle weakness.
26972210|ab|3|26972210||BACKGROUND|BACKGROUND|Elevated creatine kinase, CRP or ESR as well as electromyography and muscle biopsy also provide important diagnostic clues.
26972210|ab|4|26972210||BACKGROUND|BACKGROUND|Pharyngeal, respiratory, cardiac, and neck muscles may also be affected.
26972210|ab|5|26972210||BACKGROUND|RESULTS|Given that approximately 30 % of patients also develop interstitial lung disease, pulmonary function tests should be part of the diagnostic workup.
26972210|ab|6|26972210||BACKGROUND|RESULTS|Although the cutaneous manifestations in DM are variable, taken together, they represent a characteristic and crucial diagnostic criterion for DM.
26972210|ab|7|26972210||RESULTS|RESULTS|Approximately 5-20 % of individuals exhibit typical skin lesions without any clinically manifest muscle involvement (amyopathic DM).
26972210|ab|8|26972210||CONCLUSIONS|RESULTS|About 30 % of adult DM cases are associated with a malignancy.
26972210|ab|9|26972210||RESULTS|RESULTS|This fact, however, should not delay the treatment of severe myositis.
26972210|ab|10|26972210||RESULTS|RESULTS|Corticosteroids are the therapy of choice in myositis (1-2 mg/kg).
26972210|ab|11|26972210||RESULTS|RESULTS|Additional immunosuppressive therapy is frequently required (azathioprine, for children methotrexate).
26972210|ab|12|26972210||RESULTS|RESULTS|In case of insufficient therapeutic response, the use of intravenous immunoglobulins is justified.
26972210|ab|13|26972210||RESULTS|RESULTS|The benefit of rituximab has not been conclusively ascertained yet.
26972210|ab|14|26972210||RESULTS|RESULTS|Acute therapeutic management is usually followed by low-dose maintenance therapy for one to three years.
26972210|ab|15|26972210||RESULTS|RESULTS|Skin lesions do not always respond sufficiently to myositis therapy.
26972210|ab|16|26972210||RESULTS|RESULTS|Effective treatment for such cases consists of topical corticosteroids and sometimes also calcineurin inhibitors.
26972210|ab|17|26972210||CONCLUSIONS|RESULTS|Systemic therapies shown to be effective include antimalarial agents (also in combination), methotrexate, and corticosteroids.
26972210|ab|18|26972210||CONCLUSIONS|RESULTS|Intravenous immunoglobulins or rituximab may also be helpful.
26972210|ab|19|26972210||CONCLUSIONS|RESULTS|UV protection is an important prophylactic measure.
29957670|ab|1|29957670|HYPOTHESIS|OBJECTIVE|OBJECTIVE|The retrofacial approach is a feasible approach to the round window niche and that the Round window-Sigmoid sinus line will help determine the feasibility of retrofacial approach for cochlear implantation unless there is a very high jugular bulb.
29957670|ab|2|29957670|BACKGROUND|BACKGROUND|BACKGROUND|When the round window cannot be visualized by facial recess approach during cochlear implantation, other conservative techniques can be used to improve visualization such as the retrofacial approach.
29957670|ab|3|29957670|METHODS|METHODS|METHODS|Thirteen adult dry cadaveric temporal bones were studied.
29957670|ab|4|29957670|METHODS|METHODS|METHODS|Computed tomography (CT) scan was obtained on all temporal bones.
29957670|ab|5|29957670|METHODS|METHODS|METHODS|An imaginary Round window-Sigmoid sinus line was drawn on the axial images.
29957670|ab|6|29957670|METHODS|METHODS|METHODS|We assessed whether this line is anterior (including intersection) or posterior to the facial nerve (FN).
29957670|ab|7|29957670|METHODS|METHODS|METHODS|The following closest distances were measured on CT scans: 1) posterior semicircular canal (PSC)-FN, 2) PSC-Stapedius muscle, 3) PSC-Jugular bulb, 4) lateral semicircular canal (LSC)-Jugular bulb, 5) sigmoid sinus-FN.
29957670|ab|8|29957670|METHODS|METHODS|METHODS|A canal wall-up mastoidectomy, facial recess, and retrofacial approach were performed in all specimens.
29957670|ab|9|29957670|METHODS|METHODS|METHODS|We have noted whether we need a standard or an extended mastoidectomy.
29957670|ab|10|29957670|RESULTS|RESULTS|RESULTS|The Round window-Sigmoid sinus line was posterior to the FN in all specimens.
29957670|ab|11|29957670|RESULTS|RESULTS|RESULTS|The retrofacial approach was feasible and the round window was visualized in all specimens.
29957670|ab|12|29957670|RESULTS|RESULTS|RESULTS|Extended mastoidectomy was required in seven specimens and the PSC-FN was </= 3 mm in five of them.
29957670|ab|13|29957670|CONCLUSION|CONCLUSIONS|CONCLUSIONS|Retrofacial approach is feasible in cochlear implantation when the Round window-Sigmoid sinus line is posterior to the FN and the jugular bulb is not obstructing the round window.
22436841|ab|1|22436841||BACKGROUND|BACKGROUND|Health benefits of physical activity may depend on a concomitant weight loss.
22436841|ab|2|22436841||OBJECTIVE|OBJECTIVE|In a randomized, controlled trial, we compared the effects of endurance training with or without weight loss to the effect of weight loss induced by an energy-reduced diet in 48 sedentary, moderately overweight men who completed a 12-week intervention program of training (T), energy-reduced diet (D), training and increased diet (T-iD), or control (C).
22436841|ab|3|22436841||METHODS|METHODS|An energy deficit of 600 kcal/day was induced by endurance training or diet in T and D and a similar training regimen plus an increased dietary intake of 600 kcal/day defined the T-iD group.
22436841|ab|4|22436841||METHODS|METHODS|Primary end point was insulin sensitivity as evaluated by HOMA-IR (mainly reflecting hepatic insulin sensitivity) and hyperinsulinemic, isoglycemic clamps (primarily reflecting peripheral insulin sensitivity).
22436841|ab|5|22436841||RESULTS|RESULTS|Body mass decreased in T and D by 5.9 +/- 0.7 and 5.3 +/- 0.7 kg, respectively, whereas T-iD and C remained weight stable.
22436841|ab|6|22436841||RESULTS|RESULTS|Total and abdominal fat mass were reduced in an additive manner in the T-iD, D, and T groups by 1.9 +/- 0.3/0.2 +/- 0.1, 4.4 +/- 0.7/0.5 +/- 0.1, and 7.7 +/- 0.8/0.9 +/- 0.1 kg, respectively.
22436841|ab|7|22436841||RESULTS|RESULTS|HOMA-IR was improved in T, D, and T-iD, whereas insulin-stimulated glucose clearance and suppression of plasma nonesterified fatty acids (NEFAs) were increased only in the two training groups.
22436841|ab|8|22436841||RESULTS|CONCLUSIONS|Thus, loss of fat mass (diet or training induced) improves hepatic insulin sensitivity, whereas peripheral insulin sensitivity in skeletal muscle and adipose tissue is increased by endurance training only.
22436841|ab|9|22436841||CONCLUSIONS|CONCLUSIONS|This demonstrates that endurance training per se increases various metabolic health parameters and that endurance training should preferably always be included in any intervention regimen for improving metabolic health in moderately overweight men.
29865087|ab|1|29865087|BACKGROUND|BACKGROUND|BACKGROUND|Although adult and late-onset DM1 phenotypes DM1 present distinct lower limb weaknesses portraits, resulting physical limitations have never been described separately for each phenotype.
29865087|ab|2|29865087|OBJECTIVE|OBJECTIVE|OBJECTIVE|To characterize the lower limb weaknesses and physical limitations among the DM1 adult and late-onset phenotypes separately and to document the contribution of weaknesses on mobility to optimize the management of this population.
29865087|ab|3|29865087|METHODS|METHODS|METHODS|The strength of four muscle groups among 198 participants was quantified.
29865087|ab|4|29865087|METHODS|METHODS|METHODS|Participants were categorized according to the severity of their muscular involvement using the Muscular Impairment Rating Scale (MIRS).
29865087|ab|5|29865087|METHODS|METHODS|METHODS|Physical limitations were assessed using the Timed up-and-go (TUG), Berg Balance Scale (BBS) and 10 meters comfortable walking speed (10MWT).
29865087|ab|6|29865087|METHODS|METHODS|METHODS|Multiple linear regressions were performed to identify the contribution of each muscle group to the mobility tests scores.
29865087|ab|7|29865087|RESULTS|RESULTS|RESULTS|Late-onset demonstrated less weakness and physical limitations (p < 0.001 - 0.002) than the adult phenotype, but 21.9-47.5% of participants with this phenotype showed mobility scores below reference values.
29865087|ab|8|29865087|RESULTS|RESULTS|RESULTS|Physical limitations were observed in the first two MIRS grades (37.5-42.1% of the participants) for the TUG and 10MWT.
29865087|ab|9|29865087|RESULTS|RESULTS|RESULTS|Ankle dorsiflexors and knee extensors were the two muscle groups that showed the strongest relationships with mobility scores.
29865087|ab|10|29865087|CONCLUSION|CONCLUSIONS|CONCLUSIONS|Although less impaired, the late-onset phenotype shows significant lower limb muscle weakness associated with physical limitations.
29865087|ab|11|29865087|CONCLUSION|CONCLUSIONS|CONCLUSIONS|The surprising presence of quantitative lower limb muscle weakness in the first two MIRS grades needs to be considered when using this scale.
29865087|ab|12|29865087|CONCLUSION|CONCLUSIONS|CONCLUSIONS|Both ankle dorsiflexors and knee extensors appear to be good indicators of physical limitations in DM1.
29957568|ab|1|29957568|OBJECTIVES|OBJECTIVE|BACKGROUND|The risk of drowning is reported to be 15-19 times greater in people with epilepsy compared to the general population.
29957568|ab|2|29957568|OBJECTIVES|OBJECTIVE|BACKGROUND|Despite this disproportionate burden, there is limited data about the circumstances surrounding drowning deaths in people with epilepsy.
29957568|ab|3|29957568|OBJECTIVES|OBJECTIVE|OBJECTIVE|This population-based case series characterizes drowning deaths in people with epilepsy.
29957568|ab|4|29957568|METHODS|METHODS|METHODS|Postmortem data from coroner-ordered autopsies conducted in Ontario between 2014 and 2016 were screened for cases of drowning in people with a history of seizures.
29957568|ab|5|29957568|METHODS|METHODS|METHODS|Demographic information, epilepsy characteristics, and circumstances surrounding death were extracted from post mortem reports.
29957568|ab|6|29957568|METHODS|METHODS|METHODS|The incidence of drowning in people with epilepsy was calculated using government estimates of the Ontario population and the number of people with epilepsy.
29957568|ab|7|29957568|RESULTS|RESULTS|RESULTS|Twenty-five people with epilepsy drowned during the three-year study period, giving an estimated incidence of 1.5 per 10,000 epilepsy person-years (95% CI: 0.98, 2.23).
29957568|ab|8|29957568|RESULTS|RESULTS|RESULTS|Decedents were mostly young (mean age 36 years) and without physical or developmental disability.
29957568|ab|9|29957568|RESULTS|RESULTS|RESULTS|Approximately one-third had psychiatric comorbidities.
29957568|ab|10|29957568|RESULTS|RESULTS|RESULTS|Epilepsy severity ranged from well-controlled to drug refractory.
29957568|ab|11|29957568|RESULTS|RESULTS|RESULTS|Only 3 people had alcohol or illicit drugs detected on toxicological analysis.
29957568|ab|12|29957568|RESULTS|RESULTS|RESULTS|Forty-four percent of deaths were the result of an unwitnessed drowning in a bathtub.
29957568|ab|13|29957568|CONCLUSIONS|CONCLUSIONS|CONCLUSIONS|This population-based case series confirms people with epilepsy drown at a rate nearly ten times greater than the general population (1.5 per 10,000 epilepsy person-years compared to the estimated provincial average of 0.13 per 10,000).
29957568|ab|14|29957568|CONCLUSIONS|CONCLUSIONS|CONCLUSIONS|Drowning deaths in people with epilepsy most often occur in the bathtub.
29957568|ab|15|29957568|CONCLUSIONS|CONCLUSIONS|CONCLUSIONS|These deaths are only rarely associated with intoxication.
29957568|ab|16|29957568|CONCLUSIONS|CONCLUSIONS|CONCLUSIONS|People with epilepsy should receive counseling on the increased risk of drowning, including information regarding the significant risk associated with bathtub use, the potential protective roles of anti-epileptic drug (AED) adherence and supervision when in or around water, and the fact that all people with epilepsy remain at an increased risk of drowning regardless of their apparent seizure control.
22395055|ab|1|22395055||BACKGROUND|BACKGROUND|The success of long-term electrophysiological recordings often depends on the quality of the implantation surgery.
22395055|ab|2|22395055||BACKGROUND|OBJECTIVE|Here we provide useful information for surgeons who are learning the process of implanting electrode systems.
22395055|ab|3|22395055||METHODS|OBJECTIVE|We demonstrate the implantation procedure of both a penetrating and a surface electrode.
22395055|ab|4|22395055||RESULTS|METHODS|The surgical process is described from start to finish, including detailed descriptions of each step throughout the procedure.
22395055|ab|5|22395055||RESULTS|METHODS|It should also be noted that this video guide is focused towards procedures conducted in rodent models and other small animal models.
22395055|ab|6|22395055||CONCLUSIONS|CONCLUSIONS|Modifications of the described procedures are feasible for other animal models.
